Reference No.,Tendering Procedure,Title or Scope,Contractor(s) and Address(es),Item/Quantity,Awarded Amount,Date Awarded,Source_File,Year,Source_Month,Source_URL
1125,Selective,Police Sports & Recreation Club Enhancement Works,"Sun Fook Kong Construction LtdRoom 3207-10, 32/F, Great Eagle Centre,23 Harbour Road,Wanchsi,Hong Kong.",1 Job,"HK$297,000,000",13 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
1151,Limited,Rolling Stock Modification and New Train Cars for SCL Phase 1,"Itochu-Kinki Sharyo-Kawasaki Consortium28th Floor, United Centre,95 Queensway,Hong Kong.",Not Applicable,"HK$1,643,176,041",11 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
1141A,Selective,New Rolling Stock for SCL Phase 1,"Changchun Railway Vehicles Co., Ltd.No. 435 Qingyin Road,Changchun 130062,China.",Not Applicable,"HK$833,351,574",11 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1057-13E,Selective,Maintenance Services for UPS and CBS,"Schneider Electric IT Hong Kong Ltd13/F., East Wing, Warwick House,Tai Koo Place,979 King's Road,Quarry Bay, Hong Kong.",Not Applicable,"HK$19,954,788",23 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1068-13E,Selective,"Maintenance Services for ECS and SBCS for AEL, TCL and DRL","Thales Transport & Security (Hong Kong) LtdUnit 908-909, New Kowloon Plaza,38 Tai Kok Tsui Road,Kowloon, Hong Kong.",Not Applicable,"HK$3,635,232",24 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1069-13C(A),Selective,Maintenance Services for Landscaping (Package A),"Melofield Nursery and Landscaping Contractor LtdBlock B, Room 1402, 14/F, Hop Yick Plaza,No. 2 Mun Tan Street,Yuen Long,New Territories, Hong Kong.",Not Applicable,"HK$16,880,613",31 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1069-13C(B),Selective,Maintenance Services for Landscaping (Package B),"C.K. Garden Co. LtdUnit B22, Block B, 6/F., Cambridge Plaza,188 San Wan Road,Sheung Shui,New Territories, Hong Kong.",Not Applicable,"HK$8,978,082",24 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1069-13C(C),Selective,Maintenance Services for Landscaping (Package C),"City Landscaping Co. LtdB8, 1/F., Block B, Sheung Shui Plaza,3 Ka Fu Close,Yuen Long,New Territories, Hong Kong.",Not Applicable,"HK$11,572,170",30 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
M1070-13C,Selective,Ecological Monitoring and Adaptive Management Services for Lok Ma Chau and West Rail Wetlands,"AEC LimitedRm 121-127 Commercial Centre,Palm Springs,Yuen Long,New Territories, Hong Kong.",Not Applicable,Not Disclose,23 Dec 2013,MTR_Tender_Dec13_table1.csv,2013,Dec13,https://www.mtr.com.hk/en/corporate/tenders/Dec13.html
1155,Selective,Shatin to Central Link: Power Supply System and Trackside Auxiliaries for SCL Phase 1,"GTECH-KUM SHING Joint VentureRoom 2403-08, 24/F, C C Wu Building,302-308 Hennessy Road,Wanchai,Hong Kong.",Not Applicable,"HK$203,380,000",5 Jun 2013,MTR_Tender_Jun13_table1.csv,2013,Jun13,https://www.mtr.com.hk/en/corporate/tenders/Jun13.html
C3745-12E,Selective,"Replacement of Passenger Information Display System in ISL, KTL and TWL","Itochu Hong Kong Ltd28/F, United Centre,95 Queensway,Admiralty,Hong Kong.",Not Applicable,"HK$69,600,000",4 Jun 2013,MTR_Tender_Jun13_table1.csv,2013,Jun13,https://www.mtr.com.hk/en/corporate/tenders/Jun13.html
815F,Selective,Public Toilet Fit-Out Works for West Kowloon Terminus,"Wan Chung Construction Co LtdFlat 2A, Fuk On Building,1123 Canton Road,Mongkok,Kowloon, Hong Kong.ã",Not Applicable,"HK$53,100,357",04 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
1172,Selective,Escalators for SCL Phase 1,"ThyssenKrupp Elevator (HK) LtdUnits 605-606, Hilder Centre,2 Sung Ping Street,Hunghom,Kowloon, Hong Kong.ã",Not Applicable,"HK$180,438,081",05 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
AiSA/053,Limited,Provision of Artwork at Kennedy Town Station,"Mr. Lao U KeiRoom 2219, Hin Yeung House,Hin Keng Estate,Shatin,New Territories, Hong Kong.ã",Not Applicable,"HK$1,070,000",19 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
Q027111,Selective,Supply of Power Cables and Tinned Copper Tape,"Keystone Electric Wire & Cable Co LtdDD 83, No. 110,Kwan Ti North Village,Fanling,New Territories, Hong Kong.ã",Not Applicable,"HK$7,166,380",11 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
Q027334,Selective,"Renovation Works for The Edge, Tseung Kwan O","Sun Fook Kong Construction LtdRoom 3207-10, Great Eagle Centre,23 Harbour Road,Wanchai,Hong Kong.ã",Not Applicable,"HK$17,821,333",11 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
Q028541,Selective,Provision of Dental Services,"Bayley & Jackson Dental Surgeons LtdPodium Level, 2/F, Room 210-216, Jardine House,1 Connaught Place,Central,Hong Kong.ã",Not Applicable,Not Disclosed,27 Sep 2013,MTR_Tender_Sep13_table1.csv,2013,Sep13,https://www.mtr.com.hk/en/corporate/tenders/Sep13.html
M1035-11E,Selective,Maintenance Services for Mimic Display Panel System in Tsing Yi OCC,"Media-Go Engineering Ltd25/F, Westin Centre,26 Hung To Road,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$5,356,630",22 Feb 2013,MTR_Tender_Feb13_table1.csv,2013,Feb13,https://www.mtr.com.hk/en/corporate/tenders/Feb13.html
Q023860,Selective,"Supply, Installation & Maintenance of SAN Storage System","Global Technology Integrator Ltd8/F Yen Sheng Center,64 Hoi Yuen Road,Kwun Tong,Kowloon, Hong Kong.",1 Year,"HK$9,932,580",4 Feb 2013,MTR_Tender_Feb13_table1.csv,2013,Feb13,https://www.mtr.com.hk/en/corporate/tenders/Feb13.html
Q024365,Selective,Provision of Advertising Agency Services for Promotion Campaigns,"Two Hundred Ltd5/F, 13 Lan Fong Road,Causeway Bay,Hong Kong.",2 Years,Not Disclosed,8 Feb 2013,MTR_Tender_Feb13_table1.csv,2013,Feb13,https://www.mtr.com.hk/en/corporate/tenders/Feb13.html
812,Selective,Soft Landscaping Works for West Kowloon Terminus,"Yee Sun Garden LtdShop G903, G/F, Tung Hoi Mansion,8 Taikoo Shing Road,Taikoo Shing,Hong Kong.",Not Applicable,"HK$21,375,106",12 Aug 2013,MTR_Tender_Aug13_table1.csv,2013,Aug13,https://www.mtr.com.hk/en/corporate/tenders/Aug13.html
1153,Selective,Tunnel ECS for SCL Phase 1,"Shinryo Corporation5/F, Guardian House,32 Oi Kwan Road,Wanchai,Hong Kong.",Not Applicable,"HK$188,992,283",12 Aug 2013,MTR_Tender_Aug13_table1.csv,2013,Aug13,https://www.mtr.com.hk/en/corporate/tenders/Aug13.html
1169,Selective,Communications System for SCL Phase 1,"Siemens Limited22/F AIA Kowloon Tower,Landmark East,100 How Ming Street,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$431,299,430",23 Aug 2013,MTR_Tender_Aug13_table1.csv,2013,Aug13,https://www.mtr.com.hk/en/corporate/tenders/Aug13.html
Q026834,Selective,Provision of Term Customer Service Personnel at Elements,"Worldwide Flight Services Holding S.A.Worldwide House 1501a,19 Des Voeux Road,Central,Hong Kong.",Not Applicable,"HK$54,240,744",08 Aug 2013,MTR_Tender_Aug13_table1.csv,2013,Aug13,https://www.mtr.com.hk/en/corporate/tenders/Aug13.html
K0444-12E,Selective,Procurement of 28 Double-decker Buses,"Alexander Dennis (Asia Pacific) Ltd3rd Floor, CAC Tower,165 Hoi Bun Road,Kwun Tong,Kowloon, Hong Kong.",28 Nos.,"HK$95,804,300",9 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
K0855-12E,Selective,Replacement of Light Rail Ticket Issuing Machines,"ERG Transit Systems (HK) LtdUnit A, 4/F, First Group Centre,14 Wang Tai Road,Kowloon Bay,Kowloon, Hong Kong.",Not Applicable,"HK$36,601,133",8 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
M1038-12E,Selective,Maintenance Services for Platform Screen Doors and Automatic Platform Gates in MTR (Packages A&B),"Gilgen Door Systems AG1121-1123 Hollywood Plaza,610 Nathan Road,Mongkok,Kowloon, Hong Kong.",Not Applicable,"HK$39,331,016",28 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
M1038-12E,Selective,Maintenance Services for Platform Screen Doors and Automatic Platform Gates in MTR (Packages C),"Otis Elevator Co (HK) LtdFlat 1501-07, 1511-16, 15/F, Cityplaza One,111 King's Road,Taikoo Shing,Hong Kong.",Not Applicable,"HK$15,332,987",28 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
M1038-12E,Selective,Maintenance Services for Platform Screen Doors and Automatic Platform Gates in MTR (Packages D),"Faiveley Transport Far East Ltd21/F,9 Des Voeux Road West,Sheung Wan,Hong Kong.",Not Applicable,"HK$19,538,230",28 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
Q022554,Selective,Overhead and Jib Cranes,"Associated Engineers Ltd23/F, Stelux House,698 Prince Edward Road East,San Po Kong,Kowloon, Hong Kong.",1 Job,"HK$3,590,100",8 Jan 2013,MTR_Tender_Jan13_table1.csv,2013,Jan13,https://www.mtr.com.hk/en/corporate/tenders/Jan13.html
C6591-13C,Selective,Provision of Lift Shaft at YMT,"Goldfield N & W Construction Co Ltd2/F, Air Goal Cargo Building,330 Kwun Tong Road,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$60,880,000",11 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
K0109-11C,Selective,Station Commercial and Improvement Works at FOT,"Chun Wo Construction & Engineering Co Ltd5C, HK Spinners Industrial Bldg Phase 1,601-603 Tai Nan West Street,Cheung Sha Wan,Kowloon, Hong Kong.",Not Applicable,"HK$101,000,000",7 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
Q022102,Selective,Supply of Door Leaf for Trains,"Ultimate (Australia) Transportation Equipment Pty Ltd23 Carl Court, Hallam,Victoria, 3803,Australia.",1 Job,"HK$2,264,350",7 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
Q022937,Selective,Induction Heater for Rolling Stock Wheels,"Fulfil Trading Company LtdRoom 105, 1/F, Kai Wong Commercial Building,222-226 Queen's Road Central,Central,Hong Kong.",1 Job,"HK$6,066,288",9 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
Q024365,Selective,Provision of Advertising Agency Services for Branding Campaigns,"Abracadabra Communications LtdOffice H, 8/F, Causeway Tower,16-22 Causeway Road,Causeway Bay,Hong Kong.",2 Years,Not Disclosed,2 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
Q025910,Selective,Provision of News and Information on Infopanel in MTR Trains,"Hong Kong Commercial Broadcasting Co. Ltd.3 Broadcast Drive,Kowloon,Hong Kong.",Not Applicable,Not Disclosed,16 May 2013,MTR_Tender_May13_table1.csv,2013,May13,https://www.mtr.com.hk/en/corporate/tenders/May13.html
Q025497,Selective,Modificiation of Wagons as Trackwork and Overhead Line Work Trains for Shatin to Central Link,"The Jardine Engineering Corporation, Ltd5/F, Tower A, Manulife Financial Centre,222-231 Wai Yip Street,Kwun Tong,Kowloon, Hong Kong.ã",1 Job,"HK$13,819,900",05 Nov 2013,MTR_Tender_Nov13_table1.csv,2013,Nov13,https://www.mtr.com.hk/en/corporate/tenders/Nov13.html
Q027197ã,Selectiveã,Supply of Multi-function Network Printing/ Copying Devicesã,"Fuji Xerox (Hong Kong) Ltd8/F, Tower 3, Cityplaza,14 Taikoo Wan Road,Quarry Bay,Hong Kong.",Not Applicable,Not disclosed,15 Nov 2013,MTR_Tender_Nov13_table1.csv,2013,Nov13,https://www.mtr.com.hk/en/corporate/tenders/Nov13.html
Q028584ã,Selectiveã,"Provision of Free Recruitment Magazine in MTR Stations for ISL, KTL, TWL and TKL","Job Market Publishing Ltd3/F, Sing Tao News Corporation Building,3 Tung Wong Road,Shau Kei Wan,Hong Kong.ã",Not Applicable,Not disclosed,14 Nov 2013,MTR_Tender_Nov13_table1.csv,2013,Nov13,https://www.mtr.com.hk/en/corporate/tenders/Nov13.html
972,Selective,South Island Line (East): Rail Grinding Unit,"Linsinger Maschinenbau Gesellschaft m.b.H.Dr. Linsinger Strasse 23-24,4662 Steyrermühl,Austria.",Not Applicable,"HK$69,708,881",18 Mar 2013,MTR_Tender_Mar13_table1.csv,2013,Mar13,https://www.mtr.com.hk/en/corporate/tenders/Mar13.html
1107,Selective,Shatin to Central Link: Diamond Hill to Kai Tak Tunnels,"Chun Wo - SELI Joint Venture5C, Hong Kong Spinners Industrial Building Phase 1,601-603 Tai Nan West Street,Cheung Sha Wan,Kowloon, Hong Kong.",Not Applicable,"HK$1,067,338,000",7 Mar 2013,MTR_Tender_Mar13_table1.csv,2013,Mar13,https://www.mtr.com.hk/en/corporate/tenders/Mar13.html
1112,Selective,Shatin to Central Link: Hung Hom Station and Stabling Sidings,"Leighton Contractors (Asia) Ltd39/F, Sun Hung Kai Centre,30 Harbour Road,Wanchai,Hong Kong.",Not Applicable,"HK$5,241,356,085",7 Mar 2013,MTR_Tender_Mar13_table1.csv,2013,Mar13,https://www.mtr.com.hk/en/corporate/tenders/Mar13.html
Q024291,Selective,"Supply, Installation & Maintenance of Server Hardware","Microware Ltd1/F, Century Centre,44-46 Hung To Road,Kwun Tong,Kowloon, Hong Kong.",2 Years,"HK$5,979,160",27 Mar 2013,MTR_Tender_Mar13_table1.csv,2013,Mar13,https://www.mtr.com.hk/en/corporate/tenders/Mar13.html
Q026532,Selective,"Sale of Used Trackwork Materials, EMU/ LRV Wheels, Brake Disc, Steel Twinning & Metal Power","Yuen Hing Godown Co. Ltd.4/F Qualipak Tower,122 Connaught Road West,Western District,Hong Kong.",6 Items,"HK$8,781,780",22 Mar 2013,MTR_Tender_Mar13_table1.csv,2013,Mar13,https://www.mtr.com.hk/en/corporate/tenders/Mar13.html
1102,Selective,Shatin to Central Link:Hin Keng Station and Approach Structures,"Penta-Ocean Construction Co LtdUnit 601, K. Wah Centre,191 Java Road,North Point,Hong Kong.",Not Applicable,"HK$1,039,000,000",5 Jul 2013,MTR_Tender_Jul13_table1.csv,2013,Jul13,https://www.mtr.com.hk/en/corporate/tenders/Jul13.html
1152,Selective,Signalling System for SCL Phase 1 and Signalling System Modification for MOL and WRL,"Thales Transport & Security (Hong Kong) LtdUnit 1106-07, 11/F, New Kowloon Plaza,38 Tai Kok Tsui Road,Tai Kok Tsui,Kowloon, Hong Kong.",Not Applicable,"HK$642,526,505",5 Jul 2013,MTR_Tender_Jul13_table1.csv,2013,Jul13,https://www.mtr.com.hk/en/corporate/tenders/Jul13.html
1166,Selective,Main Control System for SCL Phase 1,"Siemens Ltd22/F, AIA Kowloon Tower,Landmark East,100 How Ming Street,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$308,499,220",5 Jul 2013,MTR_Tender_Jul13_table1.csv,2013,Jul13,https://www.mtr.com.hk/en/corporate/tenders/Jul13.html
11209,Selective,Platform Modification and Associated Works at EAL,"Chun Wo Construction and Engineering Co LtdC2, 5/F, Hong Kong Spinners Industrial Building Phase 1,601-603 Tai Nan West Street,Cheung Sha Wan,Kowloon, Hong Kong.",Not Applicable,"HK$835,600,000",4 Jul 2013,MTR_Tender_Jul13_table1.csv,2013,Jul13,https://www.mtr.com.hk/en/corporate/tenders/Jul13.html
Q024831,Selective,Supply of Desktop Personal Computers and CADD Workstations,"Toppan Forms Computer Systems LtdUnit 1075A, HK International Trade & Exhibition Center,1 Trademart Drive,Kowloon Bay,Kowloon, Hong Kong.",2 Years,"HK$8,677,558",17 Jul 2013,MTR_Tender_Jul13_table1.csv,2013,Jul13,https://www.mtr.com.hk/en/corporate/tenders/Jul13.html
Q027300,Selective,Preparation Works for COR Examination of MTR Buses,"Wah Kee Auto Body Works Co LtdFlat 803, 8/F, Kin Wing Industrial Building,33 Kin Wing Street,Tuen Mun,New Territories, Hong Kong.",1 Job,"HK$5,962,000",11 Jul 2013,MTR_Tender_Jul13_table1.csv,2013,Jul13,https://www.mtr.com.hk/en/corporate/tenders/Jul13.html
1108,Selective,Shatin to Central Link: Kai Tak Station and Associated Tunnels,"Kaden - Chun Wo Joint VentureUnits 601-605A, 6/F, Tower B,Manulife Financial Centre,223 Wai Yip Street,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$1,422,000,000",25 Apr 2013,MTR_Tender_Apr13_table1.csv,2013,Apr13,https://www.mtr.com.hk/en/corporate/tenders/Apr13.html
1162,Selective,Shatin to Central Link: TETRA System for SCL Phase 1 & 2,"Motorola Solutions Asia Pacific LtdRoom 1807-12, 18/F,Two Habourfront,22 Tak Fung Street,Hung Hom,Kowloon, Hong Kong.",Not Applicable,"HK$131,436,641",12 Apr 2013,MTR_Tender_Apr13_table1.csv,2013,Apr13,https://www.mtr.com.hk/en/corporate/tenders/Apr13.html
M1047-12E,Selective,Maintenance Services for TKL Building Services,"Shinryo Corporation5/F, Guardian House,32 Oi Kwan Road,Wanchai,Hong Kong.",Not Applicable,"HK$60,830,000",25 Apr 2013,MTR_Tender_Apr13_table1.csv,2013,Apr13,https://www.mtr.com.hk/en/corporate/tenders/Apr13.html
Q024291,Selective,"Supply, Installation & Maintenance of Server Hardware","Afina Data Systems LtdUnit A, 18/F, Infotech Centre,21 Hung To Road,Kwun Tong,Kowloon, Hong Kong.",2 Years,"HK$839,523",3 Apr 2013,MTR_Tender_Apr13_table1.csv,2013,Apr13,https://www.mtr.com.hk/en/corporate/tenders/Apr13.html
Q025816,Selective,Provision of Broadband Services for Property Management Offices,"Hutchison Global Communications Ltd8/F, Watson Centre,16-22 Kung Yip Street,Kwai Chung,New Territories, Hong Kong.",2 Years,"HK$3,198,816",29 Apr 2013,MTR_Tender_Apr13_table1.csv,2013,Apr13,https://www.mtr.com.hk/en/corporate/tenders/Apr13.html
Q026599,Selective,Provision of Upgrade Services for Desktop PC Software,"EMC Computer Systems (FE) Ltd9/F, Cityplaza 4,Taikoo Shing,Hong Kong.",1 Job,"HK$5,880,000",23 Apr 2013,MTR_Tender_Apr13_table1.csv,2013,Apr13,https://www.mtr.com.hk/en/corporate/tenders/Apr13.html
1120,Selective,Shatin to Central Link: Trackwork & OHL for SCL (Phase 1),"Alstom Hong Kong LtdUnits 1011-1012, 10/F New Kowloon Plaza,38 Tai Kok Tsui Road,Tai Kok Tsui,Kowloon, Hong Kong.",Not Applicable,"HK$425,910,954",18 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
1159,Selective,Shatin to Central Link: Lifts for SCL Phase 1,"Otis Elevator Company (H.K.) Ltd15/F, Cityplaza One,1111 King's Road,Taikoo Shing,Hong Kong.",Not Applicable,"HK$72,194,842",08 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
C3840-13C,Selective,Tsim Sha Tsui Station Carnarvon Road Subway,"Maeda CoprorationRooms 1601-5, New East Ocean Centre,9 Science Museum Road,TST East,Kowloon, Hong Kong.",Not Applicable,"HK$203,910,000",11 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
M1054-13C,Selective,Management and Maintenance Services for Lok Ma Chau and West Rail Wetlands,"Yee Sun Garden LtdShop G903, G/F, Tung Hoi Mansion,8 Taikoo Shing Road,Taikoo Shing,Hong Kong.",Not Applicable,"HK$6,840,655",29 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
Q026025,Selective,"Design, Supply and Replacement of LED Advertising Display Board at External Wall of World Wide House","Lighthouse Technologie Ltd6/F, 16 Science Park East Avenue,Pak Shek Kok,Shatin,New Territories, Hong Kong.",1 Job,"HK$8,368,100",21 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
Q026247,Open,Railway Tamping Vehicle,"Plasser &Theurer Export von Bahnbaumaschinen Gesellschaft m.b.H.A-1010 Wien,Johannesgasse 3,Austria.",1 Unit,"HK$28,400,000",17 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
Q027725,Selective,Design and Printing of Annual and Interim Reports,"The Graphis Company Ltd6/F, R&T Centre,83 Larch Street,Tai Kok Tsui,Kowloon, Hong Kong.",2 Years,Not Disclosed,08 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
Q028398,Selective,Provision of Term Inspectorate Personnel for New Projects,"Goldfield N&W Construction Co Ltd2/F, Air Goal Cargo Building,330 Kwun Tong Road,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,Not Disclosed,16 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
Q028743,Selective,Production of MTR Corporation Sustainability Report 2013,"CSR Asia LtdOffice A, 25/F, Wing Cheong Commercial Building,19-25 Jervois Street,Sheung Wan,Hong Kong.",Not Applicable,Not Disclosed,21 Oct 2013,MTR_Tender_Oct13_table1.csv,2013,Oct13,https://www.mtr.com.hk/en/corporate/tenders/Oct13.html
1177,Selective,Shatin to Central Link: Building Services for TKW and TKA,"BEST 1177 Joint VentureUnit 2101, 21/F, Island Place Tower,510 King's Road,North Point,Hong Kong.",Not Applicable,"HK$250,310,836",08 Apr 2014,MTR_Tender_Apr14_table1.csv,2014,Apr14,https://www.mtr.com.hk/en/corporate/tenders/Apr14.html
C6593-13C,Selective,Wan Chai Station Lee Tung Street Subway,"Kaden Construction LtdUnits 601-605A, 6/F, Tower B, Manulife Financial Centre,223 Wai Yip Street,Kwun Tong,Kowloon, Hong Kong.",Not Applicable,"HK$258,765,000",10 Apr 2014,MTR_Tender_Apr14_table1.csv,2014,Apr14,https://www.mtr.com.hk/en/corporate/tenders/Apr14.html
M1061-13E,Selective,Maintenance Services for ECS Ventilation System,"REC Engineering Co LtdUnits A-D, 15/F, Goodman Kwai Chung Logistics Centre,585-609 Castle Peak Road,Kwai Chung,New Territories, Hong Kong.",Not Applicable,"HK$46,367,260",14 Apr 2014,MTR_Tender_Apr14_table1.csv,2014,Apr14,https://www.mtr.com.hk/en/corporate/tenders/Apr14.html
,,,"Shinryo (Hong Kong) Ltd5/F, Guardian House,32 Oi Kwan Road,Wanchai,Hong Kong.",Not Applicable,"HK$22,762,746",14 Apr 2014,MTR_Tender_Apr14_table1.csv,2014,Apr14,https://www.mtr.com.hk/en/corporate/tenders/Apr14.html
M1062-13E,Selective,Maintenance Services for Service Information Panel System,"Roctec Technology LtdRoom 1502-4, 15/F, Kodak House II,321 Java Road,North Point,Hong Kong.",Not Applicable,"HK$3,712,360",22 Apr 2014,MTR_Tender_Apr14_table1.csv,2014,Apr14,https://www.mtr.com.hk/en/corporate/tenders/Apr14.html
Q030297,Selective,Consolidation and Upgrade of Customer Service Ticket Processor,"Microware Limited1/F., Century Centre, 44-46 Hung To Road,Kwun Tong,Kowloon, Hong Kong.",1 Job,"HK$3,326,099",17 Apr 2014,MTR_Tender_Apr14_table1.csv,2014,Apr14,https://www.mtr.com.hk/en/corporate/tenders/Apr14.html
Q032274,Selective,Provision of System Maps for MTR Trains,"Mountain Arts Production Co LtdFlat 1 & 9, 5/F, Sunray Industrial Centre,610-C Cha Kwo Ling Road,Yau Tong Bay,Kowloon, Hong Kong.",1 Job,"HK$4,941,720",23 Apr 2014,MTR_Tender_Apr14_table1.csv,2014,Apr14,https://www.mtr.com.hk/en/corporate/tenders/Apr14.html
1126,Selective,Shatin to Central Link: Reprovisioning of Harbour Road Sports Centre and Wan Chai Swimming Pool,"Kaden-Leader Joint VentureUnits 601-605A, 6/F, Tower B, Manulife Financial Centre,223 Wai Yip Street,Kwun Tong,Kowloon, Hong Kong",Not Applicable,"HK$871,022,808",16 Jan 2014,MTR_Tender_Jan14_table1.csv,2014,Jan14,https://www.mtr.com.hk/en/corporate/tenders/Jan14.html
1129,Selective,Shatin to Central Link: Advance Works for NSL,"Hsin Chong Construction Co Ltd2/F, Hsin Chong Center,107-109 Wai Yip Street,Kwun Tong,Kowloon, Hong Kong",Not Applicable,"HK$299,938,960",16 Jan 2014,MTR_Tender_Jan14_table1.csv,2014,Jan14,https://www.mtr.com.hk/en/corporate/tenders/Jan14.html
1173,Selective,Shatin to Central Link: Building Services for HUH and HHS,"Shinryo Corporation5/F, Guaradian House,32 Oi Kwan Road,Wanchai,Hong Kong.",Not Applicable,"HK$631,480,466",14 Jan 2014,MTR_Tender_Jan14_table1.csv,2014,Jan14,https://www.mtr.com.hk/en/corporate/tenders/Jan14.html
1175,Selective,Shatin to Central Link: Building Services for KAT,"Leighton M&E Ltd39/F, Sun Hung Kai Centre,30 Harbour Road,Wanchai,Hong Kong.",Not Applicable,"HK$157,879,865",07 Jan 2014,MTR_Tender_Jan14_table1.csv,2014,Jan14,https://www.mtr.com.hk/en/corporate/tenders/Jan14.html
M1058-13E,Selective,Maintenance Services for Escalators (Package A),"OTIS Elevators Co (HK) Ltd15/F, Cityplaza One,1111 King's Road,Tai Koo Shing,Hong Kong.",1 Job,"HK$135,731,664",17 Jan 2014,MTR_Tender_Jan14_table1.csv,2014,Jan14,https://www.mtr.com.hk/en/corporate/tenders/Jan14.html
,,Maintenance Services for Escalators (Package B),"KONE Elevators (HK) Ltd29/F, Tower 1, Millennium City 1,388 Kwun Tong Road,Kwun Tong,Kowloon, Hong Kong.",1 Job,"HK$50,812,600",17 Jan 2014,MTR_Tender_Jan14_table1.csv,2014,Jan14,https://www.mtr.com.hk/en/corporate/tenders/Jan14.html
,,Maintenance Services for Escalators (Package C),"Schindler Lifts (HK) Ltd29/F, Devon House,Taikoo Place,979 King's Road,Quarry Bay,Hong Kong.",1 Job,"HK$39,961,980",17 Jan 2014,MTR_Tender_Jan14_table1.csv,2014,Jan14,https://www.mtr.com.hk/en/corporate/tenders/Jan14.html
